,ID,Startzeit,Fertigstellungszeit,Schulform,Alter,"Schulstufe (1. Jg HTL oder Fachschule = 9. Schulstufe, 4. Jg = 12. Schulstufe); für Kolleg bzw. Tageskolleg bitte >13 wählen",Geschlecht,Ich finde Onlineunterricht (alle Schüler/innen/Studierende sind zuhause) im Allgemeinen genauso gut wie normalen Unterricht (Präsenzunterricht). 5 Sterne = trifft voll zu,"Gib an, wie gut deine Bedingungen zum Onlinelernen zuhause sind (Computer, Internet, angenehmer Arbeitsplatz). 5 Sterne = sehr gut",Ich nehme am Onlineunterricht normalerweise über einen Laptop von zuhause aus teil. (5 trifft voll zu),"Gib an, ob der Onlineunterricht für dich im Allgemeinen anstrengender ist als Präsenzunterricht (5 Sterne = trifft voll zu)","Gib an, ob die Arbeitsbelastung für die Schule durch den Onlineunterricht im Allgemeinen  zunimmt (5 Sterne = sehr stark)",dass er nicht zeitig in der Früh ist,dass ich zuhause Ruhe habe,dass oft genug eine Pause eingelegt wird,dass der Unterricht gut strukturiert ist,"dass Onlineübungen eingebunden sind, die nicht bewertet sind, z.B. ein paar Fragen, wo man erfährt, ob sie stimmen, oder nicht, die aber nicht bewertet werden",dass Spiele in den Unterricht eingebunden werden,"dass es Arbeitsaufträge gibt, bei denen ich mit einem oder mehreren meiner Mitschüler/innen zusammenarbeite","dass klar ist, welche Leistungen zu erbringen sind","Wenn ich etwas Privates vom Lehrer/der Lehrerin mitbekomme (z.B. Kinder, Haustiere im Hintergrund etc.)",wenn ich im Onlineunterricht namentlich angesprochen werden,"wenn der Lehrer/die Lehrerin zeigt bzw. zugibt, dass sie sich irgendwo nicht auskennt",wenn ich im Unterricht gelobt werde,wenn andere im Onlineunterricht gelobt werden,"Ergänze hier Faktoren, die deine Freude am Onlineunterricht erhöhen, die bei Frage 12 nicht genannt sind.","Kreuze an, welche Vorteile der Unterricht im Klassenzimmer gegenüber dem Onlineunterricht hat.","Wenn du bei Frage 14 ""Sonstige"" angekreuzt hast, gib an, was du dabei gemeint hast.","Hast du den Eindruck, dass  ältere Lehrkräfte (>35 Jahre) im Allgemeinen schlechter mit der Gestaltung des  Onlineunterrichts zurecht kommen tun als jüngere Lehrkräfte? (5 Sterne= trifft voll zu)","Ich fände es gut, wenn auch in Zukunft ein Teil des Unterrichts online stattfindet (5 Sterne = trifft voll zu)",Kommentare,Schule
542,28,2021-03-15 15:13:59,2021-03-15 15:17:42,HTL,18-20,12,männlich,3.0,3.0,5.0,5.0,4.0,sehr wichtig,wichtig,egal,wichtig,sehr wichtig,nicht wichtig,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,kurze Pausen,direktes Gespräch mit Lehrkraft möglich;keine technischen Fertigkeiten (Computerbedienung) dafür erforderlich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;Sonstige;,generell Menschen sehen und nicht die ganze zeit am PC sitzen,2.0,3.0,,hblva17
543,29,2021-03-15 15:12:54,2021-03-15 15:17:51,HTL,18-20,12,weiblich,2.0,3.0,5.0,4.0,3.0,wichtig,sehr wichtig,wichtig,egal,wichtig,nicht wichtig,wichtig,sehr wichtig,gar nicht wichtig,nicht wichtig,wichtig,egal,egal,,direktes Gespräch mit Lehrkraft möglich;Nachfragen einfacher;,,3.0,3.0,,hblva17
544,30,2021-03-15 15:14:04,2021-03-15 15:18:39,HTL,18-20,12,männlich,3.0,2.0,5.0,4.0,4.0,nicht wichtig,sehr wichtig,sehr wichtig,wichtig,egal,sehr wichtig,egal,sehr wichtig,egal,gar nicht wichtig,wichtig,egal,egal,Wenn früher Schluss gemacht wird. Keine 2 Stunden online Unterricht pro Fach ,direktes Gespräch mit Lehrkraft möglich;Nachfragen einfacher;,,3.0,5.0,,hblva17
545,31,2021-03-15 15:14:16,2021-03-15 15:18:41,HTL,18-20,12,männlich,3.0,5.0,5.0,2.0,2.0,egal,wichtig,sehr wichtig,wichtig,egal,wichtig,nicht wichtig,sehr wichtig,sehr wichtig,gar nicht wichtig,egal,wichtig,wichtig,,direktes Gespräch mit Lehrkraft möglich;,,4.0,4.0,,hblva17
546,32,2021-03-15 15:14:18,2021-03-15 15:19:10,HTL,18-20,12,männlich,2.0,5.0,5.0,3.0,3.0,egal,egal,wichtig,wichtig,wichtig,egal,wichtig,wichtig,egal,egal,egal,egal,egal,,direktes Gespräch mit Lehrkraft möglich;Nachfragen einfacher;keine technischen Fertigkeiten (Computerbedienung) dafür erforderlich;,Es ist eine andere viben wenn man zaus ist als wenn man in der schule ist,1.0,3.0,,hblva17
547,33,2021-03-15 15:14:14,2021-03-15 15:19:36,HTL,18-20,12,männlich,5.0,5.0,3.0,1.0,,wichtig,sehr wichtig,sehr wichtig,sehr wichtig,egal,egal,gar nicht wichtig,sehr wichtig,wichtig,egal,wichtig,wichtig,egal,Keine Gruppenarbeiten,Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Nachfragen einfacher;,,1.0,5.0,,hblva17
548,34,2021-03-15 15:12:54,2021-03-15 15:20:54,HTL,>20,12,männlich,3.0,5.0,5.0,4.0,4.0,egal,sehr wichtig,sehr wichtig,sehr wichtig,wichtig,wichtig,wichtig,wichtig,wichtig,wichtig,wichtig,sehr wichtig,egal,"Keine Komplizierten Arbeitsaufträge,vorallem nur Auftrage die zeitlich schaffbar sind.",direktes Gespräch mit Lehrkraft möglich;keine technischen Fertigkeiten (Computerbedienung) dafür erforderlich;Nachfragen einfacher;Sonstige;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;,"Es ist einfacher den Stoff zuerarbeiten, zu verstehen und zu merken.",4.0,2.0,,hblva17
549,35,2021-03-15 15:15:15,2021-03-15 15:21:32,HTL,18-20,12,weiblich,5.0,4.0,3.0,2.0,,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,wichtig,egal,gar nicht wichtig,sehr wichtig,wichtig,gar nicht wichtig,wichtig,egal,egal,Keine Gruppenarbeiten! ,Zusammenarbeit mit Mitschüler/innen einfacher;keine technischen Fertigkeiten (Computerbedienung) dafür erforderlich;,,5.0,5.0,Kompletter Online Unterricht wäre viel besser als der erzwungene (!!!) Präsenzunterricht.,hblva17
550,36,2021-03-15 15:12:40,2021-03-15 15:21:50,HTL,18-20,12,männlich,4.0,5.0,5.0,1.0,3.0,sehr wichtig,sehr wichtig,wichtig,wichtig,egal,egal,wichtig,sehr wichtig,egal,nicht wichtig,wichtig,egal,wichtig,,direktes Gespräch mit Lehrkraft möglich;Nachfragen einfacher;,,4.0,5.0,,hblva17
551,37,2021-03-15 15:14:11,2021-03-15 15:24:16,HTL,18-20,12,weiblich,3.0,2.0,4.0,5.0,5.0,nicht wichtig,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,egal,wichtig,sehr wichtig,sehr wichtig,nicht wichtig,wichtig,egal,egal,"wenn auch einfach mal ""geplaudert"", also der starre Unterricht aufgelockert wird",direktes Gespräch mit Lehrkraft möglich;keine technischen Fertigkeiten (Computerbedienung) dafür erforderlich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;ruhigere Arbeitsumgebung als zuhause;Nachfragen einfacher;Sonstige;,"weniger Arbeitsdruck, keine technischen Probleme, weniger Aufgaben, besseres Vortragen des Stoffes möglich, Verbundenheit mit Mitschülern, weniger emotionaler Stress und Panik",1.0,3.0,Schichtbetrieb mit wöchentlichem Wechsel wäre ideal,hblva17
552,38,2021-03-15 15:13:58,2021-03-15 15:24:24,HTL,18-20,12,männlich,4.0,4.0,5.0,1.0,3.0,egal,wichtig,nicht wichtig,wichtig,wichtig,egal,nicht wichtig,sehr wichtig,wichtig,wichtig,sehr wichtig,wichtig,wichtig,"Gute Internetverbindung 
",direktes Gespräch mit Lehrkraft möglich;keine technischen Fertigkeiten (Computerbedienung) dafür erforderlich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;,,4.0,4.0,"Sofern kein schichtbetrieb ist online unterricht aus meiner sicht zu bevorzugen da es wesentlich bequemer ist 
+keine 2h fahrt hin und zurück zusammengerechnet jeden tag --> mehr freizeit und allgemein entspannter tag zu hause zu sitzen anstatt in relativ formale kleindung und in der schule auf nem halbert unbequemen sessel zu sitzen",hblva17
553,39,2021-03-15 15:24:19,2021-03-15 15:25:03,HTL,18-20,12,männlich,4.0,3.0,5.0,4.0,2.0,wichtig,sehr wichtig,sehr wichtig,sehr wichtig,nicht wichtig,egal,sehr wichtig,sehr wichtig,egal,wichtig,sehr wichtig,sehr wichtig,sehr wichtig,"*Abwechslung die die Monotonie ablösen.
*gute Zusammenarbeit von Lehrkraft und Schüler/innen
*keine stressige Atmosphäre",keine technischen Fertigkeiten (Computerbedienung) dafür erforderlich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;direktes Gespräch mit Lehrkraft möglich;ruhigere Arbeitsumgebung als zuhause;Nachfragen einfacher;Sonstige;,"*lockere Atmosphäre
*Persönlicher
*Direkter
*Umfeld regt an zuzuhören (Zuhause wird man leichter abgelenkt)",2.0,4.0,Ich fände die Möglichkeit für Non-Binary bzw. Sonstige bei der Frage 4. bzgl. Geschlecht sehr wichtig!,hblva17
554,40,2021-03-15 15:16:44,2021-03-15 15:25:12,HTL,18-20,12,weiblich,4.0,3.0,2.0,2.0,3.0,egal,wichtig,sehr wichtig,wichtig,wichtig,egal,nicht wichtig,sehr wichtig,wichtig,wichtig,sehr wichtig,egal,wichtig,,direktes Gespräch mit Lehrkraft möglich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Nachfragen einfacher;,,3.0,5.0,,hblva17
555,41,2021-03-15 15:14:12,2021-03-15 15:28:04,HTL,16-17,12,männlich,4.0,5.0,5.0,2.0,3.0,egal,wichtig,nicht wichtig,sehr wichtig,egal,wichtig,sehr wichtig,sehr wichtig,wichtig,gar nicht wichtig,egal,wichtig,wichtig,"Wie gut die Platform(en) ist (sind) auf dennen unterrichtet werden.
Wie ausgeglichen die Benotung ist (Erklärung: Bei manchen Lehrern ist der Unterricht und die Mitarbeit wichtig/hilft bei der Note mit. Bei anderen macht man die ganze Zeit nur Stoff bis man am Jahresende einen entscheidenden Test bekommt) 
",Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Sonstige;,Mitarbeit zählt bei mehr Fächern mit,1.0,5.0,Bei den Fragen 10-12 intuitiv würde ich sagen das das oberste das beste und das unterste das schlechteste ist. Von den Worddefinationen wäre aber egal das unwichtigste/unterste. ,hblva17
556,42,2021-03-15 15:25:21,2021-03-15 15:30:32,HTL,16-17,12,weiblich,2.0,5.0,5.0,4.0,5.0,sehr wichtig,wichtig,wichtig,sehr wichtig,nicht wichtig,nicht wichtig,gar nicht wichtig,sehr wichtig,gar nicht wichtig,egal,egal,sehr wichtig,wichtig,"wenn nicht konstant 10h vor dem Bildschirm zu sitzen ist, mehr Ausarbeitungen dafür fallen Online Stunden aus",Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Nachfragen einfacher;,,5.0,2.0,"Wenn man Online Unterricht stundenplanmäßig durchzieht, dann bitte keine Ausarbeitungen die über einer halben Stunde extra Zeit erfordern, erhöht nur den Stress und Zeitaufwand, welcher vor dem Bildschirm verbracht wird",hblva17
557,43,2021-03-16 11:15:46,2021-03-16 11:18:48,Fachschule,16-17,12,weiblich,3.0,3.0,5.0,4.0,3.0,egal,egal,egal,egal,nicht wichtig,nicht wichtig,gar nicht wichtig,sehr wichtig,gar nicht wichtig,nicht wichtig,egal,egal,nicht wichtig,,direktes Gespräch mit Lehrkraft möglich;keine technischen Fertigkeiten (Computerbedienung) dafür erforderlich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;ruhigere Arbeitsumgebung als zuhause;Nachfragen einfacher;,,3.0,2.0,,hblva17
558,44,2021-03-16 11:16:08,2021-03-16 11:19:06,Fachschule,>20,13,männlich,2.0,5.0,4.0,4.0,3.0,wichtig,wichtig,sehr wichtig,wichtig,egal,nicht wichtig,egal,wichtig,egal,egal,wichtig,sehr wichtig,sehr wichtig,,Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;ruhigere Arbeitsumgebung als zuhause;,,2.0,3.0,,hblva17
559,45,2021-03-16 11:15:45,2021-03-16 11:19:19,Fachschule,18-20,12,weiblich,1.0,4.0,5.0,5.0,4.0,egal,wichtig,wichtig,sehr wichtig,wichtig,egal,nicht wichtig,wichtig,egal,egal,wichtig,egal,egal,,direktes Gespräch mit Lehrkraft möglich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Nachfragen einfacher;,,2.0,1.0,,hblva17
560,46,2021-03-16 11:15:51,2021-03-16 11:19:45,Fachschule,18-20,12,männlich,1.0,5.0,5.0,4.0,3.0,wichtig,sehr wichtig,egal,sehr wichtig,wichtig,nicht wichtig,nicht wichtig,wichtig,egal,nicht wichtig,egal,egal,egal,,Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;ruhigere Arbeitsumgebung als zuhause;,,3.0,1.0,,hblva17
561,47,2021-03-16 11:15:44,2021-03-16 11:20:09,Fachschule,18-20,13,männlich,2.0,5.0,5.0,1.0,4.0,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,gar nicht wichtig,wichtig,sehr wichtig,wichtig,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,,direktes Gespräch mit Lehrkraft möglich;keine technischen Fertigkeiten (Computerbedienung) dafür erforderlich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;,,4.0,1.0,,hblva17
562,48,2021-03-16 11:16:57,2021-03-16 11:20:23,Fachschule,>20,12,weiblich,4.0,2.0,4.0,4.0,5.0,sehr wichtig,sehr wichtig,sehr wichtig,wichtig,wichtig,wichtig,egal,sehr wichtig,egal,sehr wichtig,sehr wichtig,egal,egal,,direktes Gespräch mit Lehrkraft möglich;Nachfragen einfacher;,,3.0,3.0,,hblva17
563,49,2021-03-16 11:17:16,2021-03-16 11:21:15,Fachschule,18-20,12,weiblich,2.0,3.0,5.0,2.0,5.0,nicht wichtig,sehr wichtig,nicht wichtig,sehr wichtig,wichtig,nicht wichtig,wichtig,sehr wichtig,gar nicht wichtig,egal,egal,egal,egal,,Nachfragen einfacher;direktes Gespräch mit Lehrkraft möglich;,,3.0,1.0,,hblva17
564,50,2021-03-16 11:16:51,2021-03-16 11:21:17,Fachschule,18-20,,männlich,5.0,4.0,5.0,3.0,3.0,sehr wichtig,sehr wichtig,sehr wichtig,wichtig,wichtig,egal,wichtig,wichtig,egal,egal,egal,egal,egal,,direktes Gespräch mit Lehrkraft möglich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;ruhigere Arbeitsumgebung als zuhause;Nachfragen einfacher;,,5.0,2.0,,hblva17
565,51,2021-03-16 11:15:49,2021-03-16 11:21:19,Fachschule,18-20,12,männlich,3.0,5.0,5.0,2.0,4.0,egal,wichtig,sehr wichtig,sehr wichtig,egal,gar nicht wichtig,wichtig,sehr wichtig,egal,egal,egal,egal,egal,,direktes Gespräch mit Lehrkraft möglich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;,,3.0,1.0,,hblva17
566,52,2021-03-16 11:15:49,2021-03-16 11:22:15,Fachschule,>20,12,weiblich,2.0,3.0,4.0,5.0,5.0,egal,egal,wichtig,sehr wichtig,wichtig,egal,egal,sehr wichtig,gar nicht wichtig,wichtig,wichtig,sehr wichtig,sehr wichtig,genügend zeit um sich etwas zu notieren... sehr wichtig,direktes Gespräch mit Lehrkraft möglich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;ruhigere Arbeitsumgebung als zuhause;Nachfragen einfacher;,--,3.0,2.0,ich würde gerne wieder vollzeit in der schule sein ist aber leided nicht möglich ,hblva17
567,53,2021-03-16 11:19:57,2021-03-16 11:22:50,Fachschule,18-20,12,männlich,4.0,5.0,4.0,2.0,3.0,sehr wichtig,wichtig,sehr wichtig,sehr wichtig,wichtig,wichtig,sehr wichtig,sehr wichtig,egal,wichtig,wichtig,sehr wichtig,sehr wichtig,,Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;direktes Gespräch mit Lehrkraft möglich;Nachfragen einfacher;,,2.0,4.0,,hblva17
568,54,2021-03-16 11:22:39,2021-03-16 11:23:15,Fachschule,18-20,13,männlich,1.0,1.0,1.0,5.0,5.0,egal,,,,,,,,,,,,,,,,,,,hblva17
569,55,2021-03-16 11:17:23,2021-03-16 11:23:49,Fachschule,>20,12,weiblich,1.0,5.0,4.0,3.0,5.0,egal,sehr wichtig,sehr wichtig,sehr wichtig,gar nicht wichtig,gar nicht wichtig,sehr wichtig,sehr wichtig,egal,wichtig,wichtig,sehr wichtig,nicht wichtig,"Lehrer die andere Schüler massiv bervorzugen, und andere nicht anerkennen, wirken sich in hohem Maß negativ auf die Lernleistung aus und sorgen für persönliche Frustration. ",direktes Gespräch mit Lehrkraft möglich;keine technischen Fertigkeiten (Computerbedienung) dafür erforderlich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;,,5.0,2.0,"Highly annoyed of our professors. 
",hblva17
570,56,2021-03-16 11:23:29,2021-03-16 11:24:34,Fachschule,18-20,12,männlich,5.0,5.0,5.0,5.0,5.0,egal,egal,egal,egal,egal,egal,egal,egal,egal,egal,egal,egal,egal,,Nachfragen einfacher;keine technischen Fertigkeiten (Computerbedienung) dafür erforderlich;direktes Gespräch mit Lehrkraft möglich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;,,5.0,3.0,,hblva17
571,57,2021-03-16 11:15:57,2021-03-16 11:27:27,Fachschule,18-20,12,männlich,1.0,4.0,5.0,5.0,3.0,nicht wichtig,sehr wichtig,egal,wichtig,nicht wichtig,egal,wichtig,wichtig,gar nicht wichtig,nicht wichtig,egal,egal,egal,Abwechslungsreiche Aufgabenstrukturen,Zusammenarbeit mit Mitschüler/innen einfacher;,,1.0,1.0,,hblva17
572,58,2021-03-16 13:01:35,2021-03-16 13:05:08,HTL,16-17,12,weiblich,2.0,5.0,5.0,3.0,3.0,gar nicht wichtig,wichtig,sehr wichtig,sehr wichtig,sehr wichtig,nicht wichtig,sehr wichtig,sehr wichtig,egal,gar nicht wichtig,wichtig,gar nicht wichtig,egal,"Wenn nur Schüler drangenommen werden, die tatsächlich aufzeigen.",Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Nachfragen einfacher;,,4.0,5.0,,hblva17
573,59,2021-03-16 13:01:43,2021-03-16 13:05:49,HTL,18-20,12,männlich,2.0,5.0,5.0,4.0,4.0,gar nicht wichtig,nicht wichtig,wichtig,sehr wichtig,wichtig,sehr wichtig,nicht wichtig,sehr wichtig,sehr wichtig,sehr wichtig,wichtig,sehr wichtig,sehr wichtig,Wenn der Lehrer Begeisterung zeigt. Wenn der Lehrer nicht nur von Folien abliest sondern auch frei spricht,direktes Gespräch mit Lehrkraft möglich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;Sonstige;,Keine verbindungsprobleme,3.0,3.0,,hblva17
574,60,2021-03-16 13:01:44,2021-03-16 13:05:57,HTL,16-17,12,männlich,1.0,4.0,5.0,4.0,4.0,egal,sehr wichtig,wichtig,sehr wichtig,wichtig,wichtig,egal,sehr wichtig,gar nicht wichtig,egal,gar nicht wichtig,wichtig,wichtig,Pausen ,direktes Gespräch mit Lehrkraft möglich;keine technischen Fertigkeiten (Computerbedienung) dafür erforderlich;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;Sonstige;,,1.0,1.0,,hblva17
575,61,2021-03-16 13:02:10,2021-03-16 13:06:12,HTL,18-20,12,männlich,2.0,3.0,5.0,3.0,3.0,egal,nicht wichtig,wichtig,sehr wichtig,wichtig,nicht wichtig,nicht wichtig,sehr wichtig,wichtig,nicht wichtig,wichtig,egal,egal,,keine technischen Fertigkeiten (Computerbedienung) dafür erforderlich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;direktes Gespräch mit Lehrkraft möglich;,,3.0,1.0,,hblva17
576,62,2021-03-16 13:01:54,2021-03-16 13:06:15,HTL,18-20,12,männlich,1.0,3.0,5.0,5.0,1.0,gar nicht wichtig,sehr wichtig,egal,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,"viele Lehrer neigen dazu, Schüler moralisch und normitativ zu degradieren- bitte sein lassen (nicht alle Lehrer; Frau Prof. Ebert ist zB. das komplette Gegenteil- nicht einemal ein böses Wort)",direktes Gespräch mit Lehrkraft möglich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;,,5.0,5.0,Trotzdem ist Präsenzunterricht besser,hblva17
577,63,2021-03-16 13:01:43,2021-03-16 13:06:23,HTL,16-17,12,männlich,1.0,2.0,3.0,4.0,5.0,wichtig,sehr wichtig,wichtig,sehr wichtig,egal,egal,egal,sehr wichtig,egal,egal,wichtig,wichtig,wichtig,Auch übungen die nicht Laptop/Pc/Handy verbindlich sind ,direktes Gespräch mit Lehrkraft möglich;keine technischen Fertigkeiten (Computerbedienung) dafür erforderlich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;ruhigere Arbeitsumgebung als zuhause;Nachfragen einfacher;Sonstige;,"Nicht den ganzen tag vorm PC, Pausen um soziale Kontakte zu halten",3.0,2.0,,hblva17
578,64,2021-03-16 13:01:32,2021-03-16 13:06:27,HTL,18-20,12,weiblich,4.0,4.0,3.0,3.0,4.0,wichtig,sehr wichtig,sehr wichtig,sehr wichtig,wichtig,nicht wichtig,egal,sehr wichtig,egal,wichtig,egal,egal,egal,Wenn weniger geprüft werden würde ,direktes Gespräch mit Lehrkraft möglich;Zusammenarbeit mit Mitschüler/innen einfacher;,,1.0,5.0,,hblva17
579,65,2021-03-16 13:01:33,2021-03-16 13:06:27,HTL,18-20,12,weiblich,3.0,5.0,5.0,4.0,4.0,egal,wichtig,wichtig,wichtig,nicht wichtig,nicht wichtig,nicht wichtig,wichtig,egal,egal,egal,egal,egal,,Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Nachfragen einfacher;direktes Gespräch mit Lehrkraft möglich;,,3.0,1.0,,hblva17
580,66,2021-03-16 13:01:48,2021-03-16 13:06:29,HTL,18-20,12,weiblich,5.0,5.0,2.0,1.0,1.0,sehr wichtig,egal,egal,wichtig,nicht wichtig,nicht wichtig,nicht wichtig,wichtig,nicht wichtig,egal,egal,egal,egal,"man hat zuhause mehr Ruhe, kann somit den Stoff in Ruhe erarbeiten ",Nachfragen einfacher;,,1.0,5.0,Homeschooling ist angenehmer als Schichtbetrieb ,hblva17
581,67,2021-03-16 13:01:48,2021-03-16 13:06:31,HTL,18-20,12,männlich,2.0,5.0,4.0,3.0,4.0,egal,wichtig,wichtig,wichtig,egal,nicht wichtig,nicht wichtig,wichtig,nicht wichtig,gar nicht wichtig,wichtig,wichtig,wichtig,,direktes Gespräch mit Lehrkraft möglich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Nachfragen einfacher;,,2.0,1.0,,hblva17
582,68,2021-03-16 13:01:40,2021-03-16 13:06:35,HTL,18-20,12,männlich,3.0,4.0,4.0,5.0,2.0,egal,sehr wichtig,egal,wichtig,egal,sehr wichtig,wichtig,wichtig,egal,egal,egal,egal,egal,Gute internetverbindung der lehrer damit man sie hört,direktes Gespräch mit Lehrkraft möglich;keine technischen Fertigkeiten (Computerbedienung) dafür erforderlich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Nachfragen einfacher;Zusammenarbeit mit Mitschüler/innen einfacher;,,2.0,1.0,,hblva17
583,69,2021-03-16 13:01:43,2021-03-16 13:06:38,HTL,16-17,12,weiblich,3.0,5.0,5.0,3.0,4.0,egal,wichtig,egal,sehr wichtig,egal,egal,egal,sehr wichtig,egal,gar nicht wichtig,gar nicht wichtig,gar nicht wichtig,egal,,direktes Gespräch mit Lehrkraft möglich;keine technischen Fertigkeiten (Computerbedienung) dafür erforderlich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Sonstige;,man kann seine Freunde in der Pause sehen und sich mit ihnen unterhalten,1.0,3.0,,hblva17
584,70,2021-03-16 13:01:40,2021-03-16 13:06:46,HTL,16-17,12,männlich,1.0,4.0,4.0,5.0,5.0,gar nicht wichtig,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,egal,sehr wichtig,sehr wichtig,gar nicht wichtig,gar nicht wichtig,sehr wichtig,wichtig,sehr wichtig,"Ich würde mir wünschen, dass die Lehrer nicht pauschal annehmen, dass alle nicht zuhören, nur weil ein paar aus der Klasse nicht anwesend sind. Oft stellen die Lehrer dann konstant fragen, was im normalen Unterricht nicht einmal vorkommt aber zu Hause zu Stress führen kann.",direktes Gespräch mit Lehrkraft möglich;keine technischen Fertigkeiten (Computerbedienung) dafür erforderlich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Sonstige;,Soziale Kontakte,1.0,1.0,,hblva17
585,71,2021-03-16 13:02:33,2021-03-16 13:07:01,HTL,16-17,12,weiblich,3.0,5.0,5.0,2.0,1.0,gar nicht wichtig,sehr wichtig,wichtig,sehr wichtig,egal,nicht wichtig,gar nicht wichtig,sehr wichtig,egal,gar nicht wichtig,egal,egal,egal,,keine technischen Fertigkeiten (Computerbedienung) dafür erforderlich;direktes Gespräch mit Lehrkraft möglich;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;,,3.0,4.0,,hblva17
586,72,2021-03-16 13:02:50,2021-03-16 13:07:05,HTL,18-20,12,weiblich,5.0,4.0,5.0,2.0,3.0,egal,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,gar nicht wichtig,egal,sehr wichtig,gar nicht wichtig,gar nicht wichtig,sehr wichtig,egal,egal,,direktes Gespräch mit Lehrkraft möglich;Nachfragen einfacher;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;,,1.0,5.0,,hblva17
587,73,2021-03-16 13:02:25,2021-03-16 13:07:14,HTL,16-17,12,männlich,3.0,4.0,5.0,2.0,3.0,egal,sehr wichtig,wichtig,wichtig,wichtig,egal,egal,wichtig,nicht wichtig,egal,egal,wichtig,egal,,direktes Gespräch mit Lehrkraft möglich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;,,3.0,2.0,,hblva17
